date,school_closing,workplace_closing,contact_tracing,facial_coverings,stringency_index,SDI,daily_confirm_cases
2020-07-15,3.0,2.0,2.0,3.0,71.3,35.0,17
2020-07-16,3.0,2.0,2.0,3.0,71.3,35.0,50
2020-07-17,3.0,2.0,2.0,3.0,82.41,52.0,58
2020-07-18,3.0,2.0,2.0,3.0,82.41,48.0,66
2020-07-19,3.0,2.0,2.0,3.0,82.41,46.0,54
2020-07-20,3.0,2.0,2.0,3.0,82.41,45.0,28
2020-07-21,3.0,2.0,2.0,3.0,82.41,40.0,46
2020-07-22,3.0,2.0,2.0,3.0,82.41,39.0,97
2020-07-23,3.0,2.0,2.0,3.0,82.41,37.0,121
2020-07-24,3.0,2.0,2.0,3.0,82.41,38.0,118
2020-07-25,3.0,2.0,2.0,3.0,82.41,43.0,87
2020-07-26,3.0,2.0,2.0,3.0,82.41,70.0,44
2020-07-27,3.0,2.0,2.0,3.0,82.41,47.0,197
2020-07-28,3.0,2.0,2.0,3.0,82.41,38.0,138
2020-07-29,3.0,2.0,2.0,3.0,82.41,39.0,173
2020-07-30,3.0,2.0,2.0,3.0,82.41,36.0,147
2020-07-31,3.0,2.0,2.0,3.0,82.41,40.0,200
2020-08-01,3.0,2.0,2.0,3.0,82.41,38.0,223
2020-08-02,3.0,2.0,2.0,3.0,82.41,44.0,147
2020-08-03,3.0,2.0,2.0,3.0,82.41,41.0,138
2020-08-04,3.0,2.0,2.0,3.0,82.41,48.0,112
2020-08-05,3.0,2.0,2.0,3.0,82.41,42.0,197
2020-08-06,3.0,2.0,2.0,3.0,82.41,44.0,342
2020-08-07,3.0,2.0,2.0,3.0,82.41,44.0,217
2020-08-08,3.0,2.0,2.0,3.0,82.41,47.0,273
2020-08-09,3.0,2.0,2.0,3.0,82.41,52.0,201
2020-08-10,3.0,2.0,2.0,3.0,82.41,45.0,163
2020-08-11,3.0,2.0,2.0,3.0,82.41,50.0,124
2020-08-12,3.0,2.0,2.0,3.0,82.41,37.0,233
2020-08-13,3.0,2.0,2.0,3.0,82.41,32.0,229
2020-08-14,3.0,2.0,2.0,3.0,82.41,32.0,207
2020-08-15,3.0,2.0,2.0,3.0,82.41,33.0,259
2020-08-16,3.0,2.0,2.0,3.0,82.41,40.0,225
2020-08-17,3.0,2.0,2.0,3.0,82.41,35.0,150
2020-08-18,3.0,2.0,2.0,3.0,82.41,30.0,201
2020-08-19,3.0,2.0,2.0,3.0,82.41,33.0,244
2020-08-20,3.0,2.0,2.0,3.0,82.41,31.0,289
2020-08-21,3.0,2.0,2.0,3.0,82.41,32.0,232
2020-08-22,3.0,2.0,2.0,3.0,82.41,36.0,263
2020-08-23,3.0,2.0,2.0,3.0,82.41,43.0,174
2020-08-24,2.0,2.0,2.0,3.0,80.56,35.0,107
2020-08-25,2.0,2.0,2.0,3.0,80.56,37.0,157
2020-08-26,2.0,2.0,2.0,3.0,80.56,43.0,301
2020-08-27,2.0,2.0,2.0,3.0,78.7,59.0,190
2020-08-28,2.0,2.0,2.0,3.0,78.7,59.0,236
2020-08-29,2.0,2.0,2.0,3.0,78.7,62.0,190
2020-08-30,2.0,2.0,2.0,3.0,78.7,63.0,146
2020-08-31,2.0,2.0,2.0,3.0,78.7,57.0,89
2020-09-01,2.0,2.0,2.0,3.0,78.7,65.0,58
2020-09-02,2.0,2.0,2.0,3.0,78.7,66.0,88
2020-09-03,2.0,2.0,2.0,3.0,78.7,66.0,158
2020-09-04,2.0,2.0,2.0,3.0,78.7,64.0,199
2020-09-05,2.0,2.0,2.0,3.0,78.7,66.0,113
2020-09-06,2.0,2.0,2.0,3.0,78.7,63.0,95
2020-09-07,2.0,2.0,2.0,3.0,78.7,73.0,69
2020-09-08,2.0,2.0,2.0,3.0,78.7,70.0,59
2020-09-09,2.0,2.0,2.0,3.0,78.7,63.0,97
2020-09-10,2.0,2.0,2.0,3.0,78.7,43.0,136
2020-09-11,2.0,2.0,2.0,3.0,78.7,64.0,105
2020-09-12,2.0,2.0,2.0,3.0,78.7,68.0,99
2020-09-13,2.0,2.0,2.0,3.0,78.7,62.0,71
2020-09-14,2.0,2.0,2.0,3.0,78.7,60.0,49
2020-09-15,2.0,2.0,2.0,3.0,78.7,67.0,55
2020-09-16,2.0,2.0,2.0,3.0,78.7,48.0,153
2020-09-17,2.0,2.0,2.0,3.0,76.85,53.0,81
2020-09-18,2.0,2.0,2.0,3.0,76.85,53.0,109
2020-09-19,2.0,2.0,2.0,3.0,76.85,55.0,124
2020-09-20,2.0,2.0,2.0,3.0,76.85,58.0,91
2020-09-21,2.0,2.0,2.0,3.0,76.85,57.0,87
2020-09-22,2.0,2.0,2.0,3.0,76.85,68.0,80
2020-09-23,2.0,2.0,2.0,3.0,76.85,66.0,91
2020-09-24,2.0,2.0,2.0,3.0,76.85,65.0,99
2020-09-25,2.0,2.0,2.0,3.0,76.85,61.0,69
2020-09-26,2.0,2.0,2.0,3.0,76.85,52.0,87
2020-09-27,2.0,2.0,2.0,3.0,76.85,62.0,53
2020-09-28,2.0,2.0,2.0,3.0,76.85,58.0,41
