date,school_closing,workplace_closing,contact_tracing,facial_coverings,stringency_index,SDI,daily_confirm_cases,tourist
2020-08-23,3.0,2.0,2.0,3.0,82.41,43.0,225,1674
2020-08-24,2.0,2.0,2.0,3.0,80.56,35.0,150,1790
2020-08-25,2.0,2.0,2.0,3.0,80.56,37.0,201,1697
2020-08-26,2.0,2.0,2.0,3.0,80.56,43.0,244,1540
2020-08-27,2.0,2.0,2.0,3.0,78.7,59.0,289,1509
2020-08-28,2.0,2.0,2.0,3.0,78.7,59.0,232,1267
2020-08-29,2.0,2.0,2.0,3.0,78.7,62.0,263,1476
2020-08-30,2.0,2.0,2.0,3.0,78.7,63.0,174,1711
2020-08-31,2.0,2.0,2.0,3.0,78.7,57.0,107,2024
2020-09-01,2.0,2.0,2.0,3.0,78.7,65.0,157,2517
2020-09-02,2.0,2.0,2.0,3.0,78.7,66.0,301,2127
2020-09-03,2.0,2.0,2.0,3.0,78.7,66.0,190,2152
2020-09-04,2.0,2.0,2.0,3.0,78.7,64.0,236,1432
2020-09-05,2.0,2.0,2.0,3.0,78.7,66.0,190,1680
2020-09-06,2.0,2.0,2.0,3.0,78.7,63.0,146,1445
2020-09-07,2.0,2.0,2.0,3.0,78.7,73.0,89,1878
2020-09-08,2.0,2.0,2.0,3.0,78.7,70.0,58,1519
2020-09-09,2.0,2.0,2.0,3.0,78.7,63.0,88,1626
2020-09-10,2.0,2.0,2.0,3.0,78.7,43.0,158,1851
2020-09-11,2.0,2.0,2.0,3.0,78.7,64.0,199,1348
2020-09-12,2.0,2.0,2.0,3.0,78.7,68.0,113,1752
2020-09-13,2.0,2.0,2.0,3.0,78.7,62.0,95,1688
2020-09-14,2.0,2.0,2.0,3.0,78.7,60.0,69,2037
2020-09-15,2.0,2.0,2.0,3.0,78.7,67.0,59,1813
2020-09-16,2.0,2.0,2.0,3.0,78.7,48.0,97,1545
2020-09-17,2.0,2.0,2.0,3.0,76.85,53.0,136,1613
2020-09-18,2.0,2.0,2.0,3.0,76.85,53.0,105,1405
2020-09-19,2.0,2.0,2.0,3.0,76.85,55.0,99,1620
2020-09-20,2.0,2.0,2.0,3.0,76.85,58.0,71,1569
2020-09-21,2.0,2.0,2.0,3.0,76.85,57.0,49,1872
2020-09-22,2.0,2.0,2.0,3.0,76.85,68.0,55,1378
2020-09-23,2.0,2.0,2.0,3.0,76.85,66.0,153,1526
2020-09-24,2.0,2.0,2.0,3.0,76.85,65.0,81,1923
2020-09-25,2.0,2.0,2.0,3.0,76.85,61.0,109,1476
2020-09-26,2.0,2.0,2.0,3.0,76.85,52.0,124,1562
2020-09-27,2.0,2.0,2.0,3.0,76.85,62.0,91,1568
2020-09-28,2.0,2.0,2.0,3.0,76.85,58.0,87,1531
2020-09-29,2.0,2.0,2.0,3.0,76.85,51.0,80,1732
2020-09-30,2.0,2.0,2.0,3.0,76.85,49.0,91,1810
2020-10-01,2.0,2.0,2.0,3.0,76.85,48.0,99,2527
2020-10-02,2.0,2.0,2.0,3.0,76.85,43.0,69,1832
2020-10-03,2.0,2.0,2.0,3.0,76.85,43.0,87,2015
2020-10-04,2.0,2.0,2.0,3.0,76.85,55.0,53,1689
2020-10-05,2.0,2.0,2.0,3.0,76.85,50.0,41,1750
2020-10-06,2.0,2.0,2.0,3.0,76.85,46.0,67,1686
2020-10-07,2.0,2.0,2.0,3.0,76.85,59.0,89,1483
2020-10-08,2.0,2.0,2.0,3.0,76.85,67.0,86,1876
2020-10-09,2.0,2.0,2.0,3.0,76.85,60.0,113,1619
2020-10-10,2.0,2.0,2.0,3.0,76.85,65.0,58,1764
2020-10-11,2.0,2.0,2.0,3.0,76.85,44.0,77,1753
2020-10-12,2.0,2.0,2.0,3.0,76.85,39.0,37,1783
2020-10-13,2.0,2.0,2.0,3.0,76.85,40.0,29,1635
2020-10-14,2.0,2.0,2.0,3.0,76.85,39.0,79,1889
2020-10-15,2.0,2.0,2.0,3.0,76.85,57.0,73,7598
2020-10-16,2.0,2.0,2.0,3.0,76.85,33.0,68,7297
2020-10-17,2.0,2.0,2.0,3.0,76.85,45.0,81,7719
2020-10-18,2.0,2.0,2.0,3.0,76.85,47.0,67,6204
2020-10-19,2.0,2.0,2.0,3.0,76.85,41.0,29,5084
2020-10-20,2.0,2.0,2.0,3.0,76.85,39.0,58,4597
2020-10-21,2.0,2.0,2.0,3.0,76.85,33.0,65,4535
2020-10-22,2.0,2.0,2.0,3.0,76.85,38.0,52,5511
2020-10-23,2.0,2.0,2.0,3.0,76.85,31.0,65,5302
